Wavelength,Reflectance
400,0.208500042558
410,0.0973709672689
420,0.0601580366492
430,0.0575845018029
440,0.0468799211085
450,0.0381673239172
460,0.0493707694113
470,0.0495591089129
480,0.0462631843984
490,0.0806520059705
500,0.192824617028
510,0.285730808973
520,0.411632657051
530,0.483289301395
540,0.510506212711
550,0.530305683613
560,0.514519691467
570,0.564043045044
580,0.555697739124
590,0.575152158737
600,0.553774893284
610,0.55158919096
620,0.552540123463
630,0.539898574352
640,0.504318296909
650,0.510655462742
660,0.508711874485
670,0.472496569157
680,0.492843717337
690,0.475611060858
700,0.531802892685
710,0.537365436554
720,0.555037975311
