Wavelength,Reflectance
400,0.146457068651
410,0.0756126736798
420,0.0477088382219
430,0.0423688339102
440,0.0417280321787
450,0.0379068536049
460,0.0493707694113
470,0.048317733413
480,0.0455213995605
490,0.0744900809905
500,0.178981285187
510,0.261453439963
520,0.36613406217
530,0.441762652174
540,0.452410629971
550,0.46834095981
560,0.436729443068
570,0.461214778714
580,0.451814543809
590,0.43295856355
600,0.423073827792
610,0.419497972021
620,0.411308275265
630,0.381687743182
640,0.358291498291
650,0.346875722216
660,0.346366410273
670,0.329983178435
680,0.327486810654
690,0.281467265282
700,0.323243188492
710,0.339121505809
720,0.29022985291
