Volume,Inks
3.05748476394e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'KWZ turquoise 0.1805804220.160459518', 'H Bleu Azur0.5106806760.636918247']"
3.05685356904e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'I syo ro 0.1977095750.221133932', 'H Bleu Azur0.5106806760.636918247']"
3.05541126473e-05,"['Lamy red0.3185556230.394874483', 'FWP Three Steamboats0.3934220670.472907305', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
3.05518828553e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mv Caribbean 0.2212766260.22019729', 'Platinum violet0.3862266540.463573724']"
3.05131798781e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'O blue iris0.419206470.58768481', 'Inkbara cyan0.2017007770.208343148']"
3.0496427101e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'FWP blue cotton candy0.4129520650.567712903', 'KWZ turquoise 0.1805804220.160459518']"
3.04957003422e-05,"['Lamy crystal beryl0.3172305520.38562575', 'O cherry blossom0.4046063720.566762865', 'Mv Caribbean 0.2212766260.22019729', 'Noodlers Firefly0.09293186660.105642691']"
3.04552764022e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'T copper patina0.3165754680.387345076', 'Kaweco green0.04393515740.0426193513']"
3.04381562097e-05,"['V karol 0.04918261990.0568519942', 'Mg turquoise0.2829258440.310881257', 'Peach haze D0.1002408790.106591292', 'Platinum violet0.3862266540.463573724']"
3.04136037622e-05,"['V karol 0.04918261990.0568519942', 'Mv Caribbean 0.2212766260.22019729', 'Peach haze D0.1002408790.106591292', 'Platinum Violet20.3747718040.517571867']"
3.04045923582e-05,"['Lamy crystal beryl0.3172305520.38562575', 'O cherry blossom0.4046063720.566762865', 'KWZ turquoise 0.1805804220.160459518', 'Peach haze D0.1002408790.106591292']"
