Volume,Inks
2.32019962648e-05,"['13magentapigment - water-resistant', '16yellowpigment - water-resistant', '39light magentaEpson', '41cyanEpson']"
2.30991140038e-05,"['13magentapigment - water-resistant', '33yellowEpson', '39light magentaEpson', '41cyanEpson']"
2.3094543101e-05,"['13magentapigment - water-resistant', '14cyanEpson', '33yellowEpson', '42magentaEpson']"
2.30942262763e-05,"['1magentaEpson', '35yellowCanon', '41cyanEpson', '42magentaEpson']"
2.30645270525e-05,"['13magentapigment - water-resistant', '18graynan', '36yellowEpson', '40light cyanEpson']"
2.29922058371e-05,"['3orangeEpson', '9cyanCanon', '13magentapigment - water-resistant', '16yellowpigment - water-resistant']"
2.29142344813e-05,"['20rednan', '36yellowEpson', '40light cyanEpson', '42magentaEpson']"
2.2868065483e-05,"['3orangeEpson', '20rednan', '36yellowEpson', '41cyanEpson']"
2.27952281038e-05,"['1magentaEpson', '9cyanCanon', '35yellowCanon', '39light magentaEpson']"
2.27517926936e-05,"['13magentapigment - water-resistant', '35yellowCanon', '39light magentaEpson', '41cyanEpson']"
2.2692344013e-05,"['13magentapigment - water-resistant', '22blueEpson', '36yellowEpson', '40light cyanEpson']"
2.26905742236e-05,"['13magentapigment - water-resistant', '30greenEpson', '35yellowCanon', '42magentaEpson']"
2.26336104625e-05,"['1magentaEpson', '16yellowpigment - water-resistant', '30greenEpson', '39light magentaEpson']"
2.25873277513e-05,"['3orangeEpson', '9cyanCanon', '20rednan', '36yellowEpson']"
2.25703504842e-05,"['1magentaEpson', '3orangeEpson', '9cyanCanon', '36yellowEpson']"
2.25674778725e-05,"['20rednan', '33yellowEpson', '39light magentaEpson', '41cyanEpson']"
2.25557227865e-05,"['13magentapigment - water-resistant', '14cyanEpson', '16yellowpigment - water-resistant', '39light magentaEpson']"
2.25313142435e-05,"['1magentaEpson', '14cyanEpson', '36yellowEpson', '39light magentaEpson']"
2.24749818745e-05,"['13magentapigment - water-resistant', '14cyanEpson', '35yellowCanon', '42magentaEpson']"
2.24567479446e-05,"['1magentaEpson', '3orangeEpson', '36yellowEpson', '41cyanEpson']"
