wavelength,primary_1,primary_2,primary_3,primary_4,primary_5,primary_6,primary_7,primary_8,primary_9,primary_10,primary_11,primary_12
380.0,0.00175626145388,0.000904142011834,0.00297623685236,0.0034229390681,0.00947890818859,0.00814498933902,0.00694545454545,0.0101595744681,0.00692028985507,0.00197314049587,0.00283670448939,0.00174429223744
384.0,0.00106597434331,0.0013325443787,0.00188157382158,0.00312724014337,0.00866004962779,0.00744136460554,0.00634545454545,0.00928191489362,0.00632246376812,0.00180268595041,0.00172175629008,0.00159360730594
388.0,0.00305436774588,0.000932544378698,0.00121542656798,0.00485663082437,0.00774193548387,0.00665245202559,0.00567272727273,0.014414893617,0.00565217391304,0.00161157024793,0.00153922052294,0.00247488584475
392.0,0.0123091020159,0.000665088757396,0.00109466303078,0.00287634408602,0.00697270471464,0.00599147121535,0.00510909090909,0.00853723404255,0.00509057971014,0.00145144628099,0.00138628515047,0.00146575342466
396.0,0.0571166768479,0.000650887573964,0.00107128944293,0.00270609318996,0.00617866004963,0.0053091684435,0.005,0.00662234042553,0.00451086956522,0.00142045454545,0.00122841637889,0.00113698630137
400.0,0.206475259621,0.000951479289941,0.00156603038566,0.00612007168459,0.00565756823821,0.00486140724947,0.00730909090909,0.00606382978723,0.00413043478261,0.00207644628099,0.00112481499753,0.00104109589041
404.0,0.520769700672,0.00121183431953,0.000821971172575,0.00431899641577,0.00523573200993,0.00449893390192,0.00383636363636,0.00561170212766,0.00382246376812,0.00108987603306,0.00104094721263,0.000963470319635
408.0,0.886988393403,0.00373964497041,0.000775223996884,0.00178315412186,0.00493796526055,0.00424307036247,0.00538181818182,0.00529255319149,0.00360507246377,0.00102789256198,0.000981746423286,0.000908675799087
412.0,1.0,0.0069349112426,0.000747954811063,0.00381720430108,0.00476426799007,0.00409381663113,0.00483636363636,0.011329787234,0.00347826086957,0.00099173553719,0.000947212629502,0.000876712328767
416.0,0.812461820403,0.0160236686391,0.00182703544994,0.00258064516129,0.00468982630273,0.00402985074627,0.00343636363636,0.00765957446809,0.00342391304348,0.000976239669421,0.000932412432166,0.00086301369863
420.0,0.552229688454,0.0333727810651,0.00412933385275,0.00170250896057,0.00880893300248,0.00405117270789,0.00345454545455,0.00505319148936,0.00344202898551,0.000981404958678,0.000937345831278,0.000867579908676
424.0,0.329260843005,0.0655621301775,0.00872613946241,0.001729390681,0.00478908188586,0.00411513859275,0.00654545454545,0.00577127659574,0.00349637681159,0.000996900826446,0.000952146028614,0.000881278538813
428.0,0.194563225412,0.117396449704,0.0208414491624,0.00176523297491,0.00488833746898,0.00637526652452,0.00358181818182,0.00914893617021,0.00356884057971,0.00128099173554,0.000971879625062,0.000899543378995
432.0,0.115455100794,0.195976331361,0.0397350993377,0.00252688172043,0.00503722084367,0.00961620469083,0.00369090909091,0.00539893617021,0.00367753623188,0.00168904958678,0.00100148001973,0.00128767123288
436.0,0.0723885155773,0.313372781065,0.0677834047526,0.00277777777778,0.00521091811414,0.0044776119403,0.00381818181818,0.00558510638298,0.00380434782609,0.0010847107438,0.00103601381352,0.00141552511416
440.0,0.0455100794136,0.487337278107,0.102064666926,0.00448028673835,0.00535980148883,0.00460554371002,0.00392727272727,0.00574468085106,0.00391304347826,0.00111570247934,0.00106561420819,0.000986301369863
444.0,0.0308491142334,0.725207100592,0.149590962213,0.00441756272401,0.00992555831266,0.00852878464819,0.00405454545455,0.0153457446809,0.00403985507246,0.00115185950413,0.00110014800197,0.00101826484018
448.0,0.0241905925473,0.953846153846,0.229840280483,0.014247311828,0.00610421836228,0.00554371002132,0.00441818181818,0.00696808510638,0.00414855072464,0.00118285123967,0.00112974839665,0.00104566210046
452.0,0.0241905925473,1.0,0.35449941566,0.0267025089606,0.00578163771712,0.00893390191898,0.00761818181818,0.00619680851064,0.00422101449275,0.00120351239669,0.00137641835224,0.00106392694064
456.0,0.020708613317,0.834556213018,0.516556291391,0.0410394265233,0.007841191067,0.0135181236674,0.00430909090909,0.00630319148936,0.00429347826087,0.00122417355372,0.00194375925012,0.00108219178082
460.0,0.0164935858277,0.599289940828,0.714452668485,0.0747311827957,0.00900744416873,0.0351812366738,0.00432727272727,0.00632978723404,0.0043115942029,0.00122933884298,0.00173162308831,0.00108675799087
464.0,0.0120342089188,0.41349112426,0.905336969225,0.123655913978,0.00590570719603,0.0498933901919,0.00432727272727,0.00632978723404,0.0043115942029,0.00122933884298,0.00162802170696,0.00108675799087
468.0,0.00974343310935,0.28449704142,1.0,0.187275985663,0.00585607940447,0.0592750533049,0.00429090909091,0.00627659574468,0.00427536231884,0.00305785123967,0.00116428219043,0.00107762557078
472.0,0.00729993891265,0.184615384615,0.925983638489,0.295698924731,0.0157071960298,0.082302771855,0.00438181818182,0.00619680851064,0.00422101449275,0.00145661157025,0.00114948199309,0.00106392694064
